idx,dayimg,name,category,addr,phone,main,quantity,genre,qualperprice,dayornight,rmood,pmood,who,whenn,purpose
1,시골통돼지볶음.jpeg,시골통돼지볶음,"식당,술집","부산광역시 금정구 부산대학로50번길 37 1층",051-515-7747,"김치찌개, 껍데기",많음,한식,가성비,"낮에,밤에","정감있는,시끌벅적한,활발한,한국감성","머리가복잡해,답답해,화가나,우울해,기분전환,행복해,신나,즐거워,만족스러워","애인과함께,친구와함께","추운날,비오는날,날씨좋은날","술마시기좋은,식사"
2,수림식당본점.jpeg,수림식당본점,식당,"부산광역시 금정구 금샘로 7",070-7779-1931,"탄탄멘, 가지만두",많음,중식,무난한,"낮에,밤에","시끌벅적한,정갈한,소소한,활기찬,비쥬얼좋은,중국감성","행복해,즐거워,무료해,평온해,설레,새로워","애인과함께,친구와함께","추운날,비오는날","식사,데이트하기좋은"
3,파나카B.jpeg,파나카B,카페,"부산광역시 금정구 금정로 94 파나카B",010-8855-3602,"커피, 크로플",많음,간식,무난한,"낮에,밤에","고급스러운,세련된,깔끔한,친절한,인테리어예쁜,트렌디한","평온해,무료해,감성터질때,즐거워,행복해,외로워","애인과함께,친구와함께,혼자서",날씨좋은날,"데이트하기좋은,공부하기좋은"
4,자마미등갈비.jpeg,자마미등갈비,"식당,술집","부산광역시 금정구 금강로 248-9",051-583-3193,숙주대파등갈비,중간,한식,서비스좋은,밤에,"친절한,분위기좋은,동남아감성,시끌벅적한,웨이팅","평온해,무료해,만족스러워","가족과함께,친구와함께","추운날,비오는날",술마시기좋은
5,의정서.jpeg,의정서,카페,"부산광역시 금정구 부산대학로38번길 21 1층 카페 의정서",010-8005-8032,"블랙라떼, 롱블랙",중간,간식,무난한,"낮에,밤에","힙한,모던한,독특한,인테리어예쁜,세련된,감각적인,분위기좋은,트렌디한,특색있는,인스타감성","행복해,감성터질때,센치해,설레,만족스러워,즐거워","애인과함께,친구와함께","비오는날,날씨좋은날","데이트하기좋은,사진찍기좋은"
6,카페민.jpeg,카페민,카페,"부산광역시 금정구 장전로20번길 27",0507-1497-2486,"민클라우드넛츠, 브라운치즈크로플",중간,간식,무난한,낮에,"분위기좋은,인테리어예쁜,아늑한,주택개조,포근한,힐링,베이지톤,특색있는,독특한,감각적인,고급스러운","행복해,평온해,설레,새로워","애인과함께,친구와함께","날씨좋은날,추운날","데이트하기좋은,사진찍기좋은,디저트"
7,모시모시.jpeg,모시모시,식당,"부산광역시 금정구 금강로 271-5",051-515-6245,모듬초밥,많음,일식,퀄리티좋은,"낮에,밤에","고급스러운,깔끔한,아늑한,우드톤,포근한,일본감성","행복해,만족스러워,기분전환,설레","애인과함께,친구와함께,가족과함께","추운날,날씨좋은날","데이트하기좋은,대접하기좋은,소개팅"
8,쿠카이야.jpeg,쿠카이야,식당,"부산광역시 금정구 부산대학로63번길 37",051-581-3004,"치쿠다마붓카케우동, 덴뿌라우동",많음,일식,퀄리티좋은,"낮에,밤에","일본감성,아늑한,전통있는,숨은","평온해,무료해,새로워,귀찮아,즐거워,센치해,지쳐,우울해,외로워","혼자서,친구와함께,애인과함께","추운날,비오는날",데이트하기좋은
9,델라고.jpeg,델라고,식당,"부산광역시 금정구 금강로 253-1",051-515-1504,"파스타, 스테이크",중간,양식,"퀄리티좋은,합리적인","낮에,밤에","분위기좋은,이탈리아감성,오래된","감성터질때,즐거워,행복해,설레,새로워,만족스러워,외로워","애인과함께,단체,혼자서,가족과함께,친구와함께","특별한날,날씨좋은날","데이트하기좋은,대접하기좋은,소개팅"
10,컵넛.jpeg,컵넛,카페,"부산광역시 금정구 금정로149번안길 18",051-923-1541,"시그니처 넛라떼, 링도넛",적음,간식,무난한,낮에,"인테리어예쁜,인스타감성,분위기좋은,깔끔한,심플한,베이지톤,따뜻한,포근한,웨이팅","행복해,신나,즐거워,평온해,무료해,설레","애인과함께,친구와함께",날씨좋은날,"데이트하기좋은,수다떨기좋은,디저트"
